# LAMMPS data file written by OVITO Basic 3.3.5
2000 atoms
2 atom types
-13.093332 19.639998 xlo xhi
-13.093332 19.639998 ylo yhi
-13.093332 19.639998 zlo zhi

Atoms  # atomic

1 1 -11.4566655 -11.4566655 -11.4566655
2 2 -13.093332 -13.093332 -13.093332
3 1 -11.4566655 -11.4566655 -8.1833325
4 2 -13.093332 -13.093332 -9.819999
5 1 -11.4566655 -11.4566655 -4.9099995
6 2 -13.093332 -13.093332 -6.546666
7 1 -11.4566655 -11.4566655 -1.6366665
8 2 -13.093332 -13.093332 -3.273333
9 1 -11.4566655 -11.4566655 1.6366665
10 2 -13.093332 -13.093332 0.0
11 1 -11.4566655 -11.4566655 4.9099995
12 2 -13.093332 -13.093332 3.273333
13 1 -11.4566655 -11.4566655 8.1833325
14 2 -13.093332 -13.093332 6.546666
15 1 -11.4566655 -11.4566655 11.4566655
16 2 -13.093332 -13.093332 9.819999
17 1 -11.4566655 -11.4566655 14.7299985
18 2 -13.093332 -13.093332 13.093332
19 1 -11.4566655 -11.4566655 18.0033315
20 2 -13.093332 -13.093332 16.366665
21 1 -11.4566655 -8.1833325 -11.4566655
22 2 -13.093332 -9.819999 -13.093332
23 1 -11.4566655 -8.1833325 -8.1833325
24 2 -13.093332 -9.819999 -9.819999
25 1 -11.4566655 -8.1833325 -4.9099995
26 2 -13.093332 -9.819999 -6.546666
27 1 -11.4566655 -8.1833325 -1.6366665
28 2 -13.093332 -9.819999 -3.273333
29 1 -11.4566655 -8.1833325 1.6366665
30 2 -13.093332 -9.819999 0.0
31 1 -11.4566655 -8.1833325 4.9099995
32 2 -13.093332 -9.819999 3.273333
33 1 -11.4566655 -8.1833325 8.1833325
34 2 -13.093332 -9.819999 6.546666
35 1 -11.4566655 -8.1833325 11.4566655
36 2 -13.093332 -9.819999 9.819999
37 1 -11.4566655 -8.1833325 14.7299985
38 2 -13.093332 -9.819999 13.093332
39 1 -11.4566655 -8.1833325 18.0033315
40 2 -13.093332 -9.819999 16.366665
41 1 -11.4566655 -4.9099995 -11.4566655
42 2 -13.093332 -6.546666 -13.093332
43 1 -11.4566655 -4.9099995 -8.1833325
44 2 -13.093332 -6.546666 -9.819999
45 1 -11.4566655 -4.9099995 -4.9099995
46 2 -13.093332 -6.546666 -6.546666
47 1 -11.4566655 -4.9099995 -1.6366665
48 2 -13.093332 -6.546666 -3.273333
49 1 -11.4566655 -4.9099995 1.6366665
50 2 -13.093332 -6.546666 0.0
51 1 -11.4566655 -4.9099995 4.9099995
52 2 -13.093332 -6.546666 3.273333
53 1 -11.4566655 -4.9099995 8.1833325
54 2 -13.093332 -6.546666 6.546666
55 1 -11.4566655 -4.9099995 11.4566655
56 2 -13.093332 -6.546666 9.819999
57 1 -11.4566655 -4.9099995 14.7299985
58 2 -13.093332 -6.546666 13.093332
59 1 -11.4566655 -4.9099995 18.0033315
60 2 -13.093332 -6.546666 16.366665
61 1 -11.4566655 -1.6366665 -11.4566655
62 2 -13.093332 -3.273333 -13.093332
63 1 -11.4566655 -1.6366665 -8.1833325
64 2 -13.093332 -3.273333 -9.819999
65 1 -11.4566655 -1.6366665 -4.9099995
66 2 -13.093332 -3.273333 -6.546666
67 1 -11.4566655 -1.6366665 -1.6366665
68 2 -13.093332 -3.273333 -3.273333
69 1 -11.4566655 -1.6366665 1.6366665
70 2 -13.093332 -3.273333 0.0
71 1 -11.4566655 -1.6366665 4.9099995
72 2 -13.093332 -3.273333 3.273333
73 1 -11.4566655 -1.6366665 8.1833325
74 2 -13.093332 -3.273333 6.546666
75 1 -11.4566655 -1.6366665 11.4566655
76 2 -13.093332 -3.273333 9.819999
77 1 -11.4566655 -1.6366665 14.7299985
78 2 -13.093332 -3.273333 13.093332
79 1 -11.4566655 -1.6366665 18.0033315
80 2 -13.093332 -3.273333 16.366665
81 1 -11.4566655 1.6366665 -11.4566655
82 2 -13.093332 0.0 -13.093332
83 1 -11.4566655 1.6366665 -8.1833325
84 2 -13.093332 0.0 -9.819999
85 1 -11.4566655 1.6366665 -4.9099995
86 2 -13.093332 0.0 -6.546666
87 1 -11.4566655 1.6366665 -1.6366665
88 2 -13.093332 0.0 -3.273333
89 1 -11.4566655 1.6366665 1.6366665
90 2 -13.093332 0.0 0.0
91 1 -11.4566655 1.6366665 4.9099995
92 2 -13.093332 0.0 3.273333
93 1 -11.4566655 1.6366665 8.1833325
94 2 -13.093332 0.0 6.546666
95 1 -11.4566655 1.6366665 11.4566655
96 2 -13.093332 0.0 9.819999
97 1 -11.4566655 1.6366665 14.7299985
98 2 -13.093332 0.0 13.093332
99 1 -11.4566655 1.6366665 18.0033315
100 2 -13.093332 0.0 16.366665
101 1 -11.4566655 4.9099995 -11.4566655
102 2 -13.093332 3.273333 -13.093332
103 1 -11.4566655 4.9099995 -8.1833325
104 2 -13.093332 3.273333 -9.819999
105 1 -11.4566655 4.9099995 -4.9099995
106 2 -13.093332 3.273333 -6.546666
107 1 -11.4566655 4.9099995 -1.6366665
108 2 -13.093332 3.273333 -3.273333
109 1 -11.4566655 4.9099995 1.6366665
110 2 -13.093332 3.273333 0.0
111 1 -11.4566655 4.9099995 4.9099995
112 2 -13.093332 3.273333 3.273333
113 1 -11.4566655 4.9099995 8.1833325
114 2 -13.093332 3.273333 6.546666
115 1 -11.4566655 4.9099995 11.4566655
116 2 -13.093332 3.273333 9.819999
117 1 -11.4566655 4.9099995 14.7299985
118 2 -13.093332 3.273333 13.093332
119 1 -11.4566655 4.9099995 18.0033315
120 2 -13.093332 3.273333 16.366665
